wavelength,B,G,R,W
607,0.08501421,0.1053258,2.148776,1.369729
608,0.09757024,0.113432,2.462425,1.56491
609,0.1106633,0.1237558,2.816888,1.783546
610,0.1257274,0.1337876,3.208535,2.031371
611,0.1400177,0.1483469,3.618716,2.295798
612,0.1582953,0.1614075,4.090275,2.587257
613,0.1778346,0.1778775,4.601108,2.917534
614,0.1980186,0.1958472,5.153808,3.265749
615,0.220553,0.2161039,5.722429,3.633503
616,0.2444775,0.2351271,6.31952,4.024926
617,0.2678784,0.2565757,6.97927,4.432078
618,0.2947721,0.2779258,7.658405,4.8652
619,0.3195346,0.3017201,8.357386,5.309234
620,0.345589,0.3253801,9.050732,5.762792
621,0.3704874,0.3455403,9.726784,6.22541
622,0.3958792,0.3695403,10.34585,6.664402
623,0.4179989,0.38914,10.93663,7.0633
624,0.436587,0.4059092,11.42059,7.413034
625,0.4507944,0.4214135,11.77281,7.705486
626,0.4597945,0.4244689,12.02966,7.901753
627,0.4630819,0.4268599,12.09438,8.003328
628,0.4609765,0.4228701,12.02238,8.015697
629,0.452544,0.4169104,11.82881,7.934909
630,0.4376195,0.4035987,11.45208,7.729902
631,0.417596,0.3842678,10.94005,7.444195
632,0.3933219,0.3626123,10.28571,7.042049
633,0.3660117,0.3398599,9.570875,6.605915
634,0.3364388,0.3110986,8.794398,6.118474
635,0.305301,0.2845069,7.996534,5.588474
636,0.2766955,0.2567684,7.189218,5.063056
637,0.2473903,0.2297972,6.417098,4.546381
638,0.2180781,0.2028951,5.658214,4.041985
639,0.1913915,0.176963,4.973732,3.562809
640,0.1687009,0.15847,4.339156,3.121785
641,0.1467325,0.1373864,3.777349,2.720042
642,0.1269026,0.1218229,3.265165,2.360702
643,0.1104145,0.1046083,2.827059,2.044265
644,0.09550178,0.09082735,2.439632,1.766097
645,0.08251497,0.07974795,2.105642,1.531541
646,0.07213183,0.07000465,1.810675,1.318216
647,0.0627823,0.05962548,1.558485,1.138002
648,0.05464597,0.05420129,1.348974,0.9863662
649,0.0470572,0.04752338,1.162823,0.8555261
650,0.04035322,0.04071314,1.000843,0.7349554
651,0.03540152,0.03623511,0.8658828,0.6371324
652,0.03121187,0.03201914,0.7480802,0.5508844
653,0.02716114,0.02795327,0.6474179,0.4774976
654,0.02362386,0.02551934,0.5574896,0.4097517
655,0.02020886,0.02240888,0.4795077,0.3551556
656,0.01826174,0.01920876,0.4165134,0.3083554
657,0.01561608,0.01787015,0.3566448,0.2677792
658,0.01358774,0.01630989,0.3089829,0.2311723
659,0.01206987,0.01427367,0.2645511,0.1994865
660,0.01072815,0.0132066,0.2288615,0.1726102
661,0.009460228,0.01259994,0.1965103,0.1494896
662,0.008513071,0.01172105,0.1680812,0.1312135
663,0.007310099,0.009667891,0.1494783,0.113116
664,0.006439322,0.009216269,0.1257316,0.09845693
665,0.005876361,0.00891301,0.1103933,0.08598391
666,0.00544333,0.008174231,0.09585203,0.0751939
667,0.004955863,0.008526572,0.08205813,0.0654649
668,0.004366448,0.00735231,0.07190419,0.05758575
669,0.003882613,0.006931503,0.06331161,0.04978531
670,0.003463578,0.006203498,0.05541456,0.04463834
671,0.003394137,0.006684952,0.04755546,0.03876209
672,0.003061597,0.006882989,0.04346045,0.03350479
673,0.00280293,0.005842409,0.03889614,0.03109295
674,0.002767523,0.005822211,0.03063179,0.02895815
675,0.002454537,0.005655987,0.02897364,0.02713637
676,0.002275762,0.00566737,0.02641155,0.02401249
677,0.002248916,0.005071808,0.02349061,0.02155984
678,0.002262118,0.004817266,0.02190087,0.0191122
679,0.002505915,0.005206193,0.02032783,0.01828385
680,0.00208512,0.005222984,0.01885732,0.01682708
681,0.00193726,0.005783621,0.01601842,0.0171374
682,0.001867063,0.005078619,0.01493421,0.01481645
683,0.00179638,0.00542475,0.01346713,0.01446483
684,0.001967924,0.005608995,0.01317169,0.01334298
685,0.00196893,0.004660469,0.01285495,0.01310354
686,0.001955261,0.005116278,0.01165454,0.01280996
687,0.001855276,0.005474423,0.01099629,0.01131578
688,0.001844758,0.005061241,0.009811744,0.01155558
689,0.001989888,0.005545734,0.008077806,0.01106942
690,0.002029008,0.005269597,0.009287672,0.01103905
691,0.001736565,0.004439038,0.009295581,0.01034142
692,0.001733292,0.004380691,0.008364297,0.01039399
693,0.001885164,0.005117306,0.008158186,0.01037346
694,0.001698041,0.00572776,0.00809172,0.01019965
695,0.001714767,0.004817699,0.007778373,0.009546586
696,0.002002602,0.005453032,0.006492536,0.009717367
697,0.001733732,0.005083059,0.007105053,0.01015925
698,0.002157246,0.005044664,0.006527061,0.009084049
699,0.001502767,0.00514351,0.006108147,0.009634708
700,0.001635492,0.005054166,0.007643999,0.009167572
701,0.001806796,0.005703963,0.007047219,0.009357129
702,0.001708519,0.005171624,0.006188482,0.009704556
703,0.001781921,0.004645773,0.004773007,0.009271281
704,0.001558012,0.005243821,0.005056033,0.008867212
705,0.001677685,0.004781262,0.005697678,0.008756846
706,0.001746874,0.00526146,0.006009331,0.008903335
707,0.001791824,0.005408792,0.006677203,0.009235759
708,0.00192409,0.005433549,0.006338427,0.01034992
709,0.001989982,0.005319851,0.006345759,0.009205338
710,0.001834479,0.004852979,0.006944261,0.009952016
711,0.001865246,0.005529286,0.007924272,0.01006185
712,0.001993213,0.006236535,0.007111579,0.009734786
713,0.001603643,0.00546265,0.004852223,0.009768758
714,0.001826746,0.005400435,0.005654524,0.009938939
715,0.001842947,0.005542883,0.005916436,0.009207736
716,0.001886837,0.005721071,0.006622181,0.007839471
717,0.001965775,0.005364167,0.007110792,0.008426661
718,0.001935232,0.005822669,0.006619356,0.009408076
719,0.001848508,0.005732978,0.006602147,0.008861017
720,0.001778457,0.005055221,0.006604427,0.007519817
721,0.001677047,0.004696988,0.00696868,0.007983169
722,0.001410634,0.005637527,0.006710401,0.00884182
723,0.0020446,0.005558052,0.006289735,0.009001375
724,0.001606265,0.005353624,0.00585761,0.009468326
725,0.001833271,0.006411564,0.005482808,0.01009733
726,0.001947394,0.00550406,0.005462367,0.008479144
727,0.00194991,0.005824778,0.005501668,0.008091992
728,0.001864329,0.005716897,0.006651726,0.008365246
729,0.001860028,0.00550886,0.005973842,0.008524028
730,0.001952664,0.005342977,0.005110169,0.009642923
731,0.001860746,0.005436202,0.006248421,0.009972443
732,0.001786135,0.0063282,0.006092587,0.008550665
733,0.00173203,0.006215486,0.004179968,0.009290715
734,0.001806752,0.006097029,0.004392528,0.008786057
735,0.001951877,0.005345604,0.006433005,0.009878972
736,0.002100959,0.005555826,0.005866406,0.01025308
737,0.001664794,0.005978571,0.007946172,0.008316099
738,0.002401259,0.005780427,0.005430921,0.008848256
739,0.002291529,0.00661109,0.005873031,0.009172894
740,0.002164824,0.007155051,0.00547484,0.0102388
741,0.002396815,0.006508361,0.006843981,0.0095794
742,0.002347066,0.005984935,0.006368445,0.01025218
743,0.00233687,0.006018375,0.00681225,0.01228845
744,0.0008689361,0,0.004538273,0.004964462
745,0.001148771,0,0.005595552,0.005399058
746,0.001666108,0.0004704262,0.006005202,0.005547171
747,0.001585053,0.001939775,0.007352693,0.007720699
748,0.001653678,0.00417409,0.007013798,0.009279915
749,0.001870208,0.003977587,0.008914013,0.009285226
750,0.001974828,0.003986222,0.008252423,0.01045747
751,0.002070272,0.004536506,0.009622248,0.009951251
752,0.001877297,0.00630875,0.004893572,0.009848326
753,0.002228272,0.006831761,0.008546787,0.01007496
754,0.002678556,0.006079951,0.006475968,0.01184564
755,0.002266411,0.006914294,0.006129825,0.01222243
756,0.002535889,0.006218144,0.009302369,0.01257319
757,0.002496472,0.006468847,0.009619781,0.01291823
758,0.002107367,0.007237321,0.01026055,0.01291632
759,0.002384272,0.008812402,0.01103372,0.0137598
760,0.002451737,0.007483765,0.009853752,0.0145791
761,0.002754994,0.007622813,0.009609184,0.012968
762,0.002272114,0.007636785,0.009102604,0.0121363
763,0.003102551,0.008270953,0.009982219,0.01733075
764,0.004220907,0.007425375,0.008509203,0.01746755
765,0.003014122,0.007098642,0.01027398,0.01568757
766,0.004110006,0.007942981,0.008655382,0.01478465
767,0.003661202,0.009738927,0.01306859,0.01568665
768,0.003413948,0.01097717,0.01361002,0.01618271
769,0.003048725,0.008698707,0.01084318,0.01840951
770,0.003473614,0.009672793,0.01089978,0.01918388
771,0.002843827,0.009587846,0.01170705,0.01664435
772,0.002339266,0.009141685,0.01138602,0.01809485
773,0.003079342,0.009512508,0.0112017,0.01838795
774,0.003193652,0.01144741,0.0122143,0.01888932
775,0.003341604,0.01168083,0.01536565,0.02024179
776,0.003682437,0.01118945,0.01631334,0.02084344
777,0.003786849,0.009966907,0.01017492,0.01783089
778,0.003385186,0.009475322,0.01259227,0.02075147
779,0.004039781,0.01068132,0.01468574,0.01799306
780,0.004573609,0.01254911,0.0123409,0.02116682
